MAPPO update 155/4882 | env_steps=317,440 | return=-62.398 | actor_loss=-0.0318 | value_loss=0.4888 | entropy=1.0049
MAPPO update 156/4882 | env_steps=319,488 | return=-57.411 | actor_loss=-0.0295 | value_loss=0.5136 | entropy=1.0021
MAPPO update 157/4882 | env_steps=321,536 | return=-51.983 | actor_loss=-0.0289 | value_loss=0.6477 | entropy=1.0113
MAPPO update 158/4882 | env_steps=323,584 | return=-61.510 | actor_loss=-0.0282 | value_loss=0.4771 | entropy=0.9944
MAPPO update 159/4882 | env_steps=325,632 | return=-58.757 | actor_loss=-0.0291 | value_loss=0.5025 | entropy=0.9878
MAPPO update 160/4882 | env_steps=327,680 | return=-55.789 | actor_loss=-0.0277 | value_loss=0.5002 | entropy=1.0002
MAPPO update 161/4882 | env_steps=329,728 | return=-51.638 | actor_loss=-0.0290 | value_loss=0.4276 | entropy=1.0156
MAPPO update 162/4882 | env_steps=331,776 | return=-60.351 | actor_loss=-0.0288 | value_loss=0.4718 | entropy=1.0303
MAPPO update 163/4882 | env_steps=333,824 | return=-51.741 | actor_loss=-0.0316 | value_loss=0.5398 | entropy=1.0016
MAPPO update 164/4882 | env_steps=335,872 | return=-57.776 | actor_loss=-0.0300 | value_loss=0.5484 | entropy=0.9878
MAPPO update 165/4882 | env_steps=337,920 | return=-65.756 | actor_loss=-0.0346 | value_loss=0.5313 | entropy=0.9930
MAPPO update 166/4882 | env_steps=339,968 | return=-60.198 | actor_loss=-0.0334 | value_loss=0.5713 | entropy=1.0015
MAPPO update 167/4882 | env_steps=342,016 | return=-58.383 | actor_loss=-0.0318 | value_loss=0.5673 | entropy=1.0010
MAPPO update 168/4882 | env_steps=344,064 | return=-56.740 | actor_loss=-0.0319 | value_loss=0.4894 | entropy=0.9929
MAPPO update 169/4882 | env_steps=346,112 | return=-58.671 | actor_loss=-0.0301 | value_loss=0.6298 | entropy=1.0075
MAPPO update 170/4882 | env_steps=348,160 | return=-55.545 | actor_loss=-0.0293 | value_loss=0.4247 | entropy=1.0137
MAPPO update 171/4882 | env_steps=350,208 | return=-50.080 | actor_loss=-0.0277 | value_loss=0.4197 | entropy=1.0053
MAPPO update 172/4882 | env_steps=352,256 | return=-54.338 | actor_loss=-0.0314 | value_loss=0.3998 | entropy=1.0141
MAPPO update 173/4882 | env_steps=354,304 | return=-50.141 | actor_loss=-0.0330 | value_loss=0.4051 | entropy=1.0181
MAPPO update 174/4882 | env_steps=356,352 | return=-52.813 | actor_loss=-0.0332 | value_loss=0.5142 | entropy=1.0304
MAPPO update 175/4882 | env_steps=358,400 | return=-63.743 | actor_loss=-0.0295 | value_loss=0.4110 | entropy=1.0279
MAPPO update 176/4882 | env_steps=360,448 | return=-52.489 | actor_loss=-0.0328 | value_loss=0.3419 | entropy=1.0363
MAPPO update 177/4882 | env_steps=362,496 | return=-53.856 | actor_loss=-0.0305 | value_loss=0.4708 | entropy=1.0203
MAPPO update 178/4882 | env_steps=364,544 | return=-59.251 | actor_loss=-0.0303 | value_loss=0.5403 | entropy=1.0114
MAPPO update 179/4882 | env_steps=366,592 | return=-55.512 | actor_loss=-0.0281 | value_loss=0.4372 | entropy=1.0007
MAPPO update 180/4882 | env_steps=368,640 | return=-51.592 | actor_loss=-0.0326 | value_loss=0.5257 | entropy=0.9894
MAPPO update 181/4882 | env_steps=370,688 | return=-63.067 | actor_loss=-0.0336 | value_loss=0.4967 | entropy=1.0223
MAPPO update 182/4882 | env_steps=372,736 | return=-57.306 | actor_loss=-0.0314 | value_loss=0.3785 | entropy=0.9978
MAPPO update 183/4882 | env_steps=374,784 | return=-64.381 | actor_loss=-0.0294 | value_loss=0.6662 | entropy=1.0128
MAPPO update 184/4882 | env_steps=376,832 | return=-53.495 | actor_loss=-0.0310 | value_loss=0.4587 | entropy=1.0080
MAPPO update 185/4882 | env_steps=378,880 | return=-58.967 | actor_loss=-0.0336 | value_loss=0.3634 | entropy=1.0460
MAPPO update 186/4882 | env_steps=380,928 | return=-55.675 | actor_loss=-0.0333 | value_loss=0.5848 | entropy=1.0218
MAPPO update 187/4882 | env_steps=382,976 | return=-51.578 | actor_loss=-0.0326 | value_loss=0.4864 | entropy=1.0317
MAPPO update 188/4882 | env_steps=385,024 | return=-60.590 | actor_loss=-0.0327 | value_loss=0.6442 | entropy=1.0160
MAPPO update 189/4882 | env_steps=387,072 | return=-59.559 | actor_loss=-0.0280 | value_loss=0.4746 | entropy=1.0163
MAPPO update 190/4882 | env_steps=389,120 | return=-59.683 | actor_loss=-0.0310 | value_loss=0.5735 | entropy=1.0107
